Дата,Начало рассвета,Восход,Заход,Наступление темноты,Долгота дня,Продолжительность ночи,Разница
2022-01-01,08:16,09:01,16:21,17:05,07:20,15:12,00:01
2022-01-02,08:16,09:00,16:22,17:06,07:22,15:11,00:02
2022-01-03,08:16,09:00,16:23,17:07,07:23,15:10,00:01
2022-01-04,08:16,09:00,16:24,17:08,07:24,15:09,00:01
2022-01-05,08:15,09:00,16:25,17:10,07:25,15:07,00:01
2022-01-06,08:15,08:59,16:27,17:11,07:28,15:05,00:03
2022-01-07,08:15,08:59,16:28,17:12,07:29,15:04,00:01
2022-01-08,08:14,08:58,16:30,17:13,07:32,15:02,00:03
2022-01-09,08:14,08:57,16:31,17:15,07:34,15:01,00:02
2022-01-10,08:13,08:57,16:33,17:16,07:36,14:58,00:02
2022-01-11,08:13,08:56,16:34,17:17,07:38,14:57,00:02
2022-01-12,08:12,08:55,16:36,17:19,07:41,14:55,00:03
2022-01-13,08:12,08:54,16:37,17:20,07:43,14:53,00:02
2022-01-14,08:11,08:53,16:39,17:22,07:46,14:51,00:03
2022-01-15,08:10,08:52,16:41,17:23,07:49,14:48,00:03
2022-01-16,08:09,08:52,16:43,17:25,07:51,14:46,00:02
2022-01-17,08:08,08:51,16:44,17:27,07:53,14:43,00:02
2022-01-18,08:07,08:49,16:46,17:28,07:57,14:40,00:04
2022-01-19,08:06,08:48,16:48,17:30,08:00,14:38,00:03
2022-01-20,08:05,08:47,16:50,17:32,08:03,14:35,00:03
2022-01-21,08:04,08:46,16:52,17:33,08:06,14:32,00:03
2022-01-22,08:03,08:44,16:54,17:35,08:10,14:30,00:04
2022-01-23,08:02,08:43,16:55,17:37,08:12,14:27,00:02
2022-01-24,08:01,08:42,16:57,17:38,08:15,14:24,00:03
2022-01-25,07:59,08:40,16:59,17:40,08:19,14:21,00:04
2022-01-26,07:58,08:39,17:01,17:42,08:22,14:18,00:03
2022-01-27,07:57,08:37,17:03,17:44,08:26,14:15,00:04
2022-01-28,07:55,08:36,17:06,17:46,08:30,14:11,00:04
2022-01-29,07:54,08:34,17:07,17:47,08:33,14:08,00:03
2022-01-30,07:52,08:32,17:09,17:49,08:37,14:05,00:04
2022-01-31,07:51,08:31,17:11,17:51,08:40,14:02,00:03
2022-02-01,07:49,08:29,17:13,17:53,08:44,13:58,00:04
2022-02-02,07:48,08:27,17:16,17:55,08:49,13:55,00:05
2022-02-03,07:46,08:25,17:18,17:57,08:53,13:51,00:04
2022-02-04,07:44,08:23,17:20,17:59,08:57,13:47,00:04
2022-02-05,07:43,08:22,17:22,18:01,09:00,13:44,00:03
2022-02-06,07:41,08:20,17:24,18:03,09:04,13:40,00:04
2022-02-07,07:39,08:18,17:26,18:04,09:08,13:36,00:04
2022-02-08,07:38,08:16,17:28,18:06,09:12,13:34,00:04
2022-02-09,07:36,08:14,17:30,18:08,09:16,13:30,00:04
2022-02-10,07:34,08:12,17:32,18:10,09:20,13:26,00:04
2022-02-11,07:32,08:10,17:34,18:12,09:24,13:22,00:04
2022-02-12,07:30,08:08,17:36,18:14,09:28,13:18,00:04
2022-02-13,07:28,08:06,17:38,18:16,09:32,13:14,00:04
2022-02-14,07:26,08:04,17:40,18:18,09:36,13:10,00:04
2022-02-15,07:24,08:02,17:43,18:20,09:41,13:06,00:05
2022-02-16,07:22,07:59,17:45,18:22,09:46,13:02,00:05
2022-02-17,07:20,07:57,17:47,18:24,09:50,12:58,00:04
2022-02-18,07:18,07:55,17:49,18:26,09:54,12:54,00:04
2022-02-19,07:16,07:53,17:51,18:28,09:58,12:50,00:04
2022-02-20,07:14,07:51,17:53,18:30,10:02,12:46,00:04
2022-02-21,07:12,07:48,17:55,18:32,10:07,12:42,00:05
2022-02-22,07:09,07:46,17:57,18:34,10:11,12:37,00:04
2022-02-23,07:07,07:44,17:59,18:36,10:15,12:33,00:04
2022-02-24,07:05,07:41,18:01,18:38,10:20,12:29,00:05
2022-02-25,07:03,07:39,18:03,18:40,10:24,12:25,00:04
2022-02-26,07:00,07:37,18:05,18:42,10:28,12:20,00:04
2022-02-27,06:58,07:34,18:07,18:44,10:33,12:16,00:05
2022-02-28,06:56,07:32,18:09,18:46,10:37,12:12,00:04
2022-03-01,06:54,07:30,18:11,18:47,10:41,12:08,00:04
2022-03-02,06:51,07:27,18:13,18:49,10:46,12:04,00:05
2022-03-03,06:49,07:25,18:15,18:51,10:50,12:00,00:04
2022-03-04,06:47,07:22,18:17,18:53,10:55,11:56,00:05
2022-03-05,06:44,07:20,18:19,18:55,10:59,11:51,00:04
2022-03-06,06:42,07:18,18:21,18:57,11:03,11:47,00:04
2022-03-07,06:39,07:15,18:23,18:59,11:08,11:42,00:05
2022-03-08,06:37,07:13,18:25,19:01,11:12,11:38,00:04
2022-03-09,06:34,07:10,18:27,19:03,11:17,11:33,00:05
2022-03-10,06:32,07:08,18:29,19:05,11:21,11:29,00:04
2022-03-11,06:30,07:05,18:31,19:07,11:26,11:25,00:05
2022-03-12,06:27,07:03,18:33,19:09,11:30,11:20,00:04
2022-03-13,06:25,07:00,18:35,19:11,11:35,11:16,00:05
2022-03-14,06:22,06:58,18:37,19:13,11:39,11:11,00:04
2022-03-15,06:20,06:55,18:39,19:15,11:44,11:07,00:05
2022-03-16,06:17,06:53,18:41,19:17,11:48,11:02,00:04
2022-03-17,06:15,06:50,18:43,19:19,11:53,10:58,00:05
2022-03-18,06:12,06:48,18:45,19:21,11:57,10:53,00:04
2022-03-19,06:09,06:45,18:47,19:23,12:02,10:48,00:05
2022-03-20,06:07,06:43,18:49,19:25,12:06,10:44,00:04
2022-03-21,06:04,06:40,18:51,19:27,12:10,10:39,00:04
2022-03-22,06:02,06:38,18:53,19:29,12:15,10:35,00:04
2022-03-23,05:59,06:35,18:55,19:31,12:20,10:30,00:05
2022-03-24,05:57,06:33,18:57,19:33,12:24,10:26,00:04
2022-03-25,05:54,06:30,18:59,19:35,12:29,10:21,00:05
2022-03-26,05:52,06:27,19:01,19:37,12:34,10:17,00:05
2022-03-27,05:49,06:25,19:02,19:39,12:37,10:12,00:03
2022-03-28,05:46,06:22,19:04,19:41,12:42,10:07,00:05
2022-03-29,05:44,06:20,19:06,19:43,12:46,10:03,00:04
2022-03-30,05:41,06:17,19:08,19:45,12:51,09:58,00:05
2022-03-31,05:39,06:15,19:10,19:47,12:55,09:54,00:04
2022-04-01,05:36,06:12,19:12,19:49,13:00,09:49,00:05
2022-04-02,05:33,06:10,19:14,19:51,13:04,09:44,00:04
2022-04-03,05:31,06:07,19:16,19:53,13:09,09:40,00:05
2022-04-04,05:28,06:05,19:18,19:55,13:13,09:35,00:04
2022-04-05,05:25,06:02,19:20,19:57,13:18,09:30,00:05
2022-04-06,05:23,06:00,19:22,19:59,13:22,09:26,00:04
2022-04-07,05:20,05:57,19:24,20:01,13:27,09:21,00:05
2022-04-08,05:18,05:55,19:26,20:03,13:31,09:17,00:04
2022-04-09,05:15,05:52,19:28,20:05,13:36,09:12,00:05
2022-04-10,05:12,05:50,19:29,20:07,13:39,09:07,00:03
